------------------------------------------------------------------------------------
导出信息：
姓名：夏宇成
支付宝账户：13852291616
起始时间：[2026-02-27 00:00:00]    终止时间：[2026-03-27 23:59:59]
导出交易类型：[全部]
导出时间：[2026-03-27 13:51:29]
共83笔记录
收入：0笔 0.00元
支出：75笔 1649.86元
不计收支：8笔 1075.79元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-03-27 10:29:07,退款,欧诗**店,hzo***@163.com,退款-欧诗漫营养美肤氨基酸洗面奶洁面乳女深层清洁毛孔不紧绷官方正品,不计收支,0.00,,退款成功,2026032723001113141442165578_4502219437022036909	,T200P4502219437022036909	,,
2026-03-27 10:27:52,美容美发,欧诗**店,hzo***@163.com,欧诗漫营养美肤氨基酸洗面奶洁面乳女深层清洁毛孔不紧绷官方正品,支出,19.80,中国银行储蓄卡(4738),支付成功,2026032723001113141445186276	,T200P4502230814020072919	,,
2026-03-27 10:23:32,美容美发,欧诗**店,hzo***@163.com,欧诗漫营养美肤氨基酸洗面奶洁面乳女深层清洁毛孔不紧绷官方正品,支出,0.00,,支付成功,2026032723001113141442165578	,T200P4502219437022036909	,,
2026-03-27 08:29:07,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-27 07:52:20--奥体东2026-03-27 08:28:59),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032722001413141442498632	,T000020101506260327075220458225	,,
2026-03-26 18:57:30,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-26 18:21:45--红山动物园2026-03-26 18:57:23),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032622001413141437578896	,T000002021906260326182145007940	,,
2026-03-26 08:27:07,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-26 07:48:07--奥体东2026-03-26 08:26:37),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032622001413141436671296	,T000020101506260326074807912329	,,
2026-03-25 22:40:58,退款,x***3,193******40,退款-京东puls会员 京东一年年卡 PLUS京东京典卡京东会员1,不计收支,15.88,中国银行储蓄卡(4738),退款成功,2026032523001113141432097737_4502204966050018545	,T200P4502204966050018545	,,
2026-03-25 22:39:54,日用百货,天***6,150***@163.com,【送积分都归你】京东plus会员年卡京东会员一年jd年卡,支出,58.80,中国银行储蓄卡(4738),等待确认收货,2026032523001113141432888567	,T200P4502216918040027727	,,
2026-03-25 22:37:54,日用百货,x***3,193******40,京东puls会员 京东一年年卡 PLUS京东京典卡京东会员1,支出,15.88,中国银行储蓄卡(4738),交易关闭,2026032523001113141432097737	,T200P4502204966050018545	,,
2026-03-25 19:02:45,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-25 18:27:01--红山动物园2026-03-25 19:02:41),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032522001413141433642336	,T000002021908260325182701844805	,,
